,Gn,mean,std,percentile_rank
1250,ATP5F1A,1450.48,0.0,99.34709351305813
8310,KRT8,1437.29,0.0,99.34182813816344
346,ADH1A,1428.479,0.0,99.33656276326874
7226,HSP90B1,1405.209,0.0,99.33129738837405
4711,EEF2,1404.354,0.0,99.32603201347936
960,ARHGDIA,1398.337,0.0,99.32076663858467
1625,BPIFA2,1396.857,0.0,99.31550126368998
14077,S100A10,1395.025,0.0,99.31023588879529
7405,IGF1,1394.095,0.0,99.3049705139006
3654,CRYGS,1392.733,0.0,99.2997051390059
348,ADH4,1380.144,0.0,99.2944397641112
8942,LUM,1369.355,0.0,99.28917438921651
17427,TXN,1355.137,0.0,99.28390901432182
16495,TKT,1354.099,0.0,99.27864363942712
14434,SERPINC1,1349.351,0.0,99.27337826453243
3709,CST4,1349.109,0.0,99.26811288963773
17009,TPM4,1345.272,0.0,99.26284751474304
11788,PDIA3,1326.984,0.0,99.25758213984835
14416,SERPINA3,1316.385,0.0,99.25231676495366
461,AHSG,1316.251,0.0,99.24705139005897
9302,MDH1,1312.034,0.0,99.24178601516428
12677,PRH2,1311.887,0.0,99.23652064026959
1957,C3,1308.912,0.0,99.2312552653749
6858,HBG1,1304.893,0.0,99.22598989048021
6800,H3-3A,1301.657,0.0,99.21809182813817
6801,H3-3B,1301.657,0.0,99.21809182813817
11465,P4HB,1301.062,0.0,99.21019376579613
17377,TUBA1C,1300.332,0.0,99.20492839090144
6993,HINT1,1286.193,0.0,99.19966301600674
3132,CKB,1283.2575000000002,172.7511363913418,99.19439764111205
2149,CALD1,1279.587,0.0,99.18913226621736
4187,DES,1269.093,0.0,99.18386689132265
7224,HSP90AA1,1264.72,0.0,99.17860151642796
12676,PRH1,1262.345,0.0,99.17333614153327
13886,RPLP2,1254.213,0.0,99.16807076663858
8329,KRTAP10-5,1251.882,0.0,99.16280539174389
17562,UCHL1,1250.847,0.0,99.1575400168492
11365,ORM2,1247.282,0.0,99.1522746419545
8710,LMNA,1215.747,0.0,99.14700926705981
11878,PF4,1209.411,0.0,99.14174389216512
10026,MYH9,1207.228,0.0,99.13647851727043
4033,DCN,1198.62,0.0,99.13121314237574
13880,RPL8,1188.363,0.0,99.12594776748105
17469,UBA52,1179.835,160.01543615539092,99.11804970513901
13923,RPS27A,1179.835,160.01543615539092,99.11804970513901
17388,TUBB4B,1177.505,0.0,99.11015164279696
17817,VCL,1168.879,0.0,99.10488626790227
11900,PGAM1,1163.287,0.0,99.09962089300758
10647,NPM1,1160.196,0.0,99.09435551811289
13259,RAN,1153.086,0.0,99.0890901432182
8274,KRT2,1145.797,0.0,99.08382476832351
9503,MIF,1145.669,0.0,99.0785593934288
7089,HNRNPK,1141.496,0.0,99.07329401853411
8362,KRTAP26-1,1136.543,0.0,99.06802864363942
5879,FTL,1133.945,0.0,99.06276326874473
6152,GFAP,1127.298,0.0,99.05749789385004
2,A2M,1114.564,0.0,99.05223251895535
6088,GC,1113.113,0.0,99.04696714406066
8273,KRT19,1106.374,0.0,99.04170176916597
9841,MSN,1106.341,0.0,99.03643639427128
9966,MUC7,1092.916,0.0,99.03117101937659
10031,MYL2,1092.547,0.0,99.02590564448188
14078,S100A11,1090.331,0.0,99.02064026958719
602,AMBP,1081.574,0.0,99.0153748946925
3512,CP,1079.49,0.0,99.01010951979781
7254,HSPE1-MOB4,1070.73,0.0,99.00484414490312
776,ANXA6,1069.252,0.0,98.99957877000843
12993,PTMS,1066.573,0.0,98.99431339511374
216,ACTN4,1066.435,0.0,98.98904802021904
4701,EEF1A2,1063.744,0.0,98.98378264532435
3642,CRYBA4,1051.933,0.0,98.97851727042965
1535,BHMT,1046.537,0.0,98.97325189553496
1572,BLVRB,1033.048,0.0,98.96798652064027
3551,CPS1,1029.791,0.0,98.96272114574558
12992,PTMA,1027.539,0.0,98.95745577085088
2813,CEL,1019.813,0.0,98.9521903959562
18371,ZG16B,1015.036,0.0,98.9469250210615
13856,RPL29,1001.361,0.0,98.9416596461668
18190,YWHAB,999.733,0.0,98.9363942712721
3717,CSTB,997.678,0.0,98.93112889637742
10035,MYL6,994.006,0.0,98.92586352148273
7055,HMGN2,989.241,0.0,98.92059814658803
5205,FABP3,988.639,0.0,98.91533277169334
13907,RPS14,980.391,0.0,98.91006739679865
10232,NCL,976.61,0.0,98.90480202190396
17376,TUBA1B,975.1393333333334,142.08485343038268,98.89953664700927
5028,ERCC1,968.319,0.0,98.89427127211458
6760,H1-5,966.193,0.0,98.88900589721989
14439,SERPINF1,964.363,0.0,98.8837405223252
6661,GSTA1,958.432,0.0,98.8784751474305
8294,KRT4,954.569,0.0,98.8732097725358
6791,H2BC3,944.818,0.0,98.86794439764111
18194,YWHAQ,943.414,0.0,98.86267902274642
828,APCS,938.69,0.0,98.85741364785173
5207,FABP5,936.717,0.0,98.85214827295702
4829,EIF5A,932.546,0.0,98.84688289806233
14548,SH3BGRL3,930.472,0.0,98.84161752316764
8570,LGALS3,924.993,0.0,98.83635214827295
6745,GYPE,924.4,0.0,98.83108677337826
866,APOH,924.004,0.0,98.82582139848357
15315,SOD2,923.542,0.0,98.82055602358888
13862,RPL35,921.513,0.0,98.81529064869419
7240,HSPA9,921.002,0.0,98.8100252737995
8993,LYZ,917.034,0.0,98.8047598989048
17826,VDAC1,916.335,0.0,98.79949452401011
6783,H2BC11,915.574,0.0,98.79422914911542
8345,KRTAP19-1,915.343,0.0,98.78896377422073
16920,TNNT2,914.02,0.0,98.78369839932604
7083,HNRNPD,913.639,0.0,98.77843302443135
6788,H2BC17,901.688,0.0,98.77316764953665
6759,H1-4,900.188,0.0,98.76790227464195
12800,PRR27,892.942,0.0,98.76263689974726
17379,TUBA4A,890.0905,239.92345217693918,98.75737152485257
17375,TUBA1A,887.0600000000001,145.28170229247735,98.75210614995787
17387,TUBB4A,886.899,132.52029607573326,98.74684077506318
0,A1BG,885.188,0.0,98.74157540016849
844,APOA4,878.889,0.0,98.7363100252738
1027,ARL6IP5,878.806,0.0,98.7310446503791
6784,H2BC12,878.525,0.0,98.72314658803707
6795,H2BS1,878.525,0.0,98.72314658803707
10015,MYH11,878.485,0.0,98.71524852569503
535,ALDH1A1,877.743,0.0,98.70998315080034
7075,HNRNPA1,874.4045,147.6644020084055,98.70471777590565
214,ACTN1,871.233,0.0,98.69945240101096
13835,RPL12,871.014,0.0,98.69418702611627
10518,NME1,870.814,113.85833390665788,98.68892165122156
1430,BASP1,866.574,0.0,98.68365627632687
3771,CTRB2,863.444,48.20346927348695,98.67839090143218
8321,KRTAP1-5,862.616,0.0,98.67312552653749
13857,RPL3,860.378,0.0,98.6678601516428
6790,H2BC21,859.668,0.0,98.66259477674811
10164,NAPSA,858.423,0.0,98.65732940185342
13927,RPS3,857.422,0.0,98.65206402695873
15614,SRSF3,854.988,0.0,98.64679865206402
2645,CD9,854.592,0.0,98.64153327716933
13869,RPL37A,852.597,0.0,98.63626790227464
13913,RPS19,847.91,0.0,98.63100252737995
6460,GPI,847.416,0.0,98.62573715248526
3869,CYCS,843.579,0.0,98.62047177759057
7046,HMGB2,843.291,0.0,98.61520640269588
12658,PRDX3,842.183,0.0,98.60994102780118
18192,YWHAG,841.915,0.0,98.60467565290648
16140,TBCA,839.162,0.0,98.59941027801179
17384,TUBB2A,833.332,0.0,98.5941449031171
15107,SLURP1,831.235,0.0,98.5888795282224
6757,H1-2,831.029,0.0,98.58361415332772
3770,CTRB1,829.359,0.0,98.57834877843302
115,ACAA2,829.156,0.0,98.57308340353833
13912,RPS18,828.417,0.0,98.56781802864364
13836,RPL13,828.201,0.0,98.56255265374895
7078,HNRNPA3,826.757,0.0,98.55728727885426
2080,CA2,822.634,0.0,98.55202190395957
5178,EZR,821.766,0.0,98.54675652906487
3986,DBI,817.065,0.0,98.54149115417017
8296,KRT5,815.326,0.0,98.53622577927548
2190,CANX,814.944,0.0,98.53096040438079
13876,RPL6,814.402,0.0,98.5256950294861
13860,RPL32,813.85,0.0,98.5204296545914
3135,CKM,812.433,0.0,98.5151642796967
6796,H2BU1,811.314,0.0,98.50989890480201
131,ACAT1,810.784,0.0,98.50463352990732
17482,UBB,810.7545,326.2300774614443,98.49936815501263
6662,GSTA2,810.354,0.0,98.49410278011794
2279,CAVIN1,806.753,0.0,98.48883740522325
13875,RPL5,805.366,0.0,98.48357203032856
13843,RPL18A,804.403,0.0,98.47830665543387
13849,RPL23A,802.829,0.0,98.47304128053918
17818,VCP,797.463,0.0,98.46777590564449
6754,H1-0,795.804,0.0,98.4625105307498
6792,H2BC5,795.245,0.0,98.4572451558551
13946,RPS9,793.276,0.0,98.45197978096041
